VISC ASPH BASE RUN FINES VOIDS RUT
2.8 4.68 4.87 0 84 4.916 6.75
1.4 5.19 4.50 0 65 4.563 13
1.4 4.82 4.73 0 79 5.321 14.75
3.3 4.85 4.76 0 83 4.865 12.6
1.7 4.86 4.95 0 84 3.776 8.25
2.9 5.16 4.45 0 74 4.397 10.67
3.7 4.82 5.05 0 68 4.867 7.28
1.7 4.86 4.7 0 86 4.828 12.67
0.92 4.78 4.84 0 67 4.865 12.58
0.68 5.16 4.76 0 77 4.034 20.6
6.0 4.57 4.82 0 74 5.450 3.58
4.3 4.61 4.65 0 67 4.853 7.
0.6 5.07 5.1 0 75 4.257 26.2
1.8 4.66 5.09 0 82 5.144 11.67
6. 5.42 4.41 0 58 3.718 7.67
4.4 5.01 4.74 0 71 4.715 12.25
88. 4.97 4.66 1 65 4.625 .76
62. 5.01 4.72 1 80 4.977 1.35
50. 4.96 4.9 1 68 4.322 1.44
58. 5.2 4.7 1 82 5.087 1.6
90. 4.8 4.6 1 66 5.971 1.1
66. 4.98 4.69 1 64 4.647 .85
140. 5.35 4.76 1 73 5.115 1.2
240. 5.04 4.8 1 78 5.939 .56
420. 4.8 4.8 1 74 5.916 .72
500. 4.83 4.6 1 67 5.471 .47
180. 4.66 4.72 1 72 4.602 .33
270. 4.67 4.5 1 63 5.043 .26
170. 4.72 4.7 1 68 5.075 .76
98. 5. 5.07 1 72 4.334 .8
35. 4.7 4.8 1 77 5.705 2.

